Initial:  {'Temperature': 1.0, 'Pressure': 222.58978716154098, 'Total Energy': 3144.9394479248913, 'Momentum Magnitude': 2.6148868358935697e-13}
910 {'Temperature': 0.48371320230149734, 'Pressure': 228.54562254885235, 'Total Energy': 3150.113712273101, 'Momentum Magnitude': 4.0730598236850653e-13}
920 {'Temperature': 0.5161139960473893, 'Pressure': 228.17410461042508, 'Total Energy': 3149.9282532005673, 'Momentum Magnitude': 4.124024111957822e-13}
930 {'Temperature': 0.4869102504009728, 'Pressure': 228.51286551111687, 'Total Energy': 3150.291929852613, 'Momentum Magnitude': 4.2419011388049133e-13}
940 {'Temperature': 0.5406572916785833, 'Pressure': 227.89873327400258, 'Total Energy': 3149.69639714115, 'Momentum Magnitude': 4.1650407802271665e-13}
950 {'Temperature': 0.5147690378752066, 'Pressure': 228.20553068313174, 'Total Energy': 3150.313476200065, 'Momentum Magnitude': 4.384508421920585e-13}
960 {'Temperature': 0.5104454232808574, 'Pressure': 228.23098354778892, 'Total Energy': 3149.6577561257604, 'Momentum Magnitude': 4.3662989157024435e-13}
970 {'Temperature': 0.4890991444599767, 'Pressure': 228.5005606992763, 'Total Energy': 3150.448089132599, 'Momentum Magnitude': 4.37206718686197e-13}
980 {'Temperature': 0.47847023537689204, 'Pressure': 228.61232460472448, 'Total Energy': 3150.2503926846894, 'Momentum Magnitude': 4.309651869101881e-13}
990 {'Temperature': 0.4306126645033314, 'Pressure': 229.16036736312194, 'Total Energy': 3150.7714838940256, 'Momentum Magnitude': 4.262462560098839e-13}
1000 {'Temperature': 0.5523236254757162, 'Pressure': 227.75664801852867, 'Total Energy': 3149.5231725083163, 'Momentum Magnitude': 4.2989254898864317e-13}
1010 {'Temperature': 0.5312917244201524, 'Pressure': 228.02626860166953, 'Total Energy': 3150.2102899118895, 'Momentum Magnitude': 4.4374737939944213e-13}
1020 {'Temperature': 0.5127748141503146, 'Pressure': 228.19988953107264, 'Total Energy': 3149.6431115474315, 'Momentum Magnitude': 4.4539766547178233e-13}
1030 {'Temperature': 0.5155627125693005, 'Pressure': 228.20516479610893, 'Total Energy': 3150.3541700627475, 'Momentum Magnitude': 4.658862255181846e-13}
1040 {'Temperature': 0.521543313768409, 'Pressure': 228.10398981946955, 'Total Energy': 3149.5818218903178, 'Momentum Magnitude': 4.716002577287369e-13}
1050 {'Temperature': 0.46468164908647136, 'Pressure': 228.76768794214948, 'Total Energy': 3150.4022416742673, 'Momentum Magnitude': 4.768103039214899e-13}
1060 {'Temperature': 0.4922403332791529, 'Pressure': 228.46037600041126, 'Total Energy': 3150.0667518029954, 'Momentum Magnitude': 4.733638030610546e-13}
1070 {'Temperature': 0.5045934917366337, 'Pressure': 228.32574861869452, 'Total Energy': 3150.2552327547887, 'Momentum Magnitude': 4.853215601259609e-13}
1080 {'Temperature': 0.5094781023251639, 'Pressure': 228.25459420871047, 'Total Energy': 3149.809105353857, 'Momentum Magnitude': 4.99727730601613e-13}
1090 {'Temperature': 0.5526968015856474, 'Pressure': 227.7681983943645, 'Total Energy': 3149.6745673900996, 'Momentum Magnitude': 5.03599405031909e-13}
1100 {'Temperature': 0.5286686043037713, 'Pressure': 228.03602034310603, 'Total Energy': 3149.8235043341, 'Momentum Magnitude': 5.042680955594353e-13}
1110 {'Temperature': 0.49777227463992035, 'Pressure': 228.3936622377355, 'Total Energy': 3150.128058171436, 'Momentum Magnitude': 5.051569670509781e-13}
1120 {'Temperature': 0.5055385922124418, 'Pressure': 228.30875517180743, 'Total Energy': 3150.1501125496447, 'Momentum Magnitude': 5.081843069692932e-13}
1130 {'Temperature': 0.4876944229656884, 'Pressure': 228.50429886264064, 'Total Energy': 3150.0650348487166, 'Momentum Magnitude': 5.179907839893013e-13}
1140 {'Temperature': 0.4744751598268856, 'Pressure': 228.65305481056782, 'Total Energy': 3150.1212354481913, 'Momentum Magnitude': 5.182491862081311e-13}
1150 {'Temperature': 0.4724566655485152, 'Pressure': 228.69379762460787, 'Total Energy': 3150.4165704457087, 'Momentum Magnitude': 5.22357364741985e-13}
1160 {'Temperature': 0.4862688858634954, 'Pressure': 228.52248978124658, 'Total Energy': 3150.1043416405914, 'Momentum Magnitude': 5.181083749680331e-13}
1170 {'Temperature': 0.48475330448401693, 'Pressure': 228.54265853889171, 'Total Energy': 3150.278516956676, 'Momentum Magnitude': 5.286309480657093e-13}
1180 {'Temperature': 0.5102341879198191, 'Pressure': 228.25297249640852, 'Total Energy': 3149.9302240471734, 'Momentum Magnitude': 5.226459245695722e-13}
1190 {'Temperature': 0.5076710654286148, 'Pressure': 228.27244174475408, 'Total Energy': 3149.9901722624068, 'Momentum Magnitude': 5.136973029049893e-13}
1200 {'Temperature': 0.5008361675814369, 'Pressure': 228.35902998590234, 'Total Energy': 3150.1665085582463, 'Momentum Magnitude': 5.205899216926143e-13}
1210 {'Temperature': 0.4996483981281513, 'Pressure': 228.37184020644173, 'Total Energy': 3150.082099852815, 'Momentum Magnitude': 5.254834115333999e-13}
1220 {'Temperature': 0.48673588112879085, 'Pressure': 228.51619630341716, 'Total Energy': 3150.2402761223175, 'Momentum Magnitude': 5.301423902080783e-13}
1230 {'Temperature': 0.5212428495774757, 'Pressure': 228.1181687623659, 'Total Energy': 3149.78613926379, 'Momentum Magnitude': 5.269290321539716e-13}
1240 {'Temperature': 0.5159277390478484, 'Pressure': 228.19418687250484, 'Total Energy': 3150.184472530295, 'Momentum Magnitude': 5.446677329749623e-13}
1250 {'Temperature': 0.5006089817694045, 'Pressure': 228.35571043625606, 'Total Energy': 3149.9074990112676, 'Momentum Magnitude': 5.319841951768471e-13}
1260 {'Temperature': 0.5222370490630266, 'Pressure': 228.11600680107716, 'Total Energy': 3149.974539150288, 'Momentum Magnitude': 5.366150295020459e-13}
1270 {'Temperature': 0.5016777391700787, 'Pressure': 228.3499994195357, 'Total Energy': 3150.179326124865, 'Momentum Magnitude': 5.10480094743603e-13}
1280 {'Temperature': 0.4774759402699318, 'Pressure': 228.61983601515988, 'Total Energy': 3150.1775406221186, 'Momentum Magnitude': 5.117031078634631e-13}
1290 {'Temperature': 0.4910899347927475, 'Pressure': 228.47355293293336, 'Total Energy': 3150.353562267616, 'Momentum Magnitude': 4.882765185303003e-13}
1300 {'Temperature': 0.5330078921426066, 'Pressure': 227.98451796387184, 'Total Energy': 3149.63822487476, 'Momentum Magnitude': 4.790125944675522e-13}
1310 {'Temperature': 0.48413899466923643, 'Pressure': 228.5522254289895, 'Total Energy': 3150.4832114089972, 'Momentum Magnitude': 4.871825365066415e-13}
1320 {'Temperature': 0.49449587933837397, 'Pressure': 228.4229909990387, 'Total Energy': 3150.061295097555, 'Momentum Magnitude': 4.811307467696355e-13}
1330 {'Temperature': 0.5226841656066953, 'Pressure': 228.12229170169917, 'Total Energy': 3150.1645116577643, 'Momentum Magnitude': 4.730589338844332e-13}
1340 {'Temperature': 0.47487340339799294, 'Pressure': 228.6465190158026, 'Total Energy': 3150.2538648468526, 'Momentum Magnitude': 4.574647298438196e-13}
1350 {'Temperature': 0.5006311760587324, 'Pressure': 228.35499389144468, 'Total Energy': 3149.89354876306, 'Momentum Magnitude': 4.850295915967989e-13}
1360 {'Temperature': 0.5093466868253552, 'Pressure': 228.27154739706322, 'Total Energy': 3150.331660548331, 'Momentum Magnitude': 4.624552150892392e-13}
1370 {'Temperature': 0.49852175209134836, 'Pressure': 228.3754056650483, 'Total Energy': 3149.959690623792, 'Momentum Magnitude': 4.715049609715738e-13}
1380 {'Temperature': 0.4560314353203224, 'Pressure': 228.88043823996586, 'Total Energy': 3150.7114511343943, 'Momentum Magnitude': 5.0720376969686e-13}
1390 {'Temperature': 0.5535759760830435, 'Pressure': 227.74721553754372, 'Total Energy': 3149.5441221544297, 'Momentum Magnitude': 5.139289423548851e-13}
1400 {'Temperature': 0.4944124302010341, 'Pressure': 228.43325038924695, 'Total Energy': 3150.204000944521, 'Momentum Magnitude': 5.112460919269374e-13}
1410 {'Temperature': 0.506204130900585, 'Pressure': 228.29428849538292, 'Total Energy': 3150.073877337888, 'Momentum Magnitude': 5.091982590693809e-13}
