epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_f_mae,training_f_rmse,training_H_f_mae,training_C_f_mae,training_O_f_mae,training_psavg_f_mae,training_H_f_rmse,training_C_f_rmse,training_O_f_rmse,training_psavg_f_rmse,training_e_mae,training_e/N_mae,validation_loss_f,validation_loss_e,validation_loss,validation_f_mae,validation_f_rmse,validation_H_f_mae,validation_C_f_mae,validation_O_f_mae,validation_psavg_f_mae,validation_H_f_rmse,validation_C_f_rmse,validation_O_f_rmse,validation_psavg_f_rmse,validation_e_mae,validation_e/N_mae
        36, 19733.345,    0.005,       0.00016668,       8.8944e-06,          0.16668,       0.0112,       0.0156,      0.00717,       0.0139,       0.0134,       0.0115,      0.00987,       0.0184,        0.018,       0.0154,       0.0603,      0.00287,       5.1183e-05,       1.4234e-07,         0.051183,      0.00607,      0.00867,      0.00348,      0.00786,      0.00725,       0.0062,      0.00483,       0.0106,      0.00982,       0.0084,      0.00778,      0.00037
        37, 20271.060,    0.005,        0.0002004,       1.1571e-05,          0.20041,       0.0122,       0.0172,      0.00781,        0.015,       0.0149,       0.0126,       0.0107,         0.02,       0.0203,        0.017,       0.0684,      0.00326,       5.2349e-05,       2.7902e-06,         0.052352,      0.00614,      0.00877,      0.00355,      0.00795,      0.00724,      0.00625,      0.00493,       0.0107,      0.00991,       0.0085,       0.0418,      0.00199
        38, 20808.749,    0.005,       0.00018001,       1.2141e-05,          0.18002,       0.0116,       0.0163,      0.00742,       0.0142,       0.0139,       0.0119,       0.0103,        0.019,        0.019,       0.0161,       0.0721,      0.00343,        4.667e-05,       7.7366e-07,          0.04667,      0.00582,      0.00828,      0.00338,      0.00753,      0.00686,      0.00592,      0.00469,       0.0101,       0.0093,      0.00803,       0.0211,      0.00101
        39, 21341.126,    0.005,       0.00018821,       1.1009e-05,          0.18822,       0.0117,       0.0166,      0.00747,       0.0143,       0.0143,       0.0121,       0.0105,       0.0194,       0.0196,       0.0165,       0.0658,      0.00313,       5.1027e-05,       3.5579e-06,          0.05103,      0.00607,      0.00865,      0.00351,      0.00784,      0.00724,      0.00619,      0.00487,       0.0105,      0.00981,       0.0084,       0.0474,      0.00226
        40, 21869.483,    0.005,       0.00015996,       8.6981e-06,          0.15997,       0.0109,       0.0153,      0.00685,       0.0134,       0.0133,       0.0112,      0.00943,        0.018,       0.0181,       0.0152,       0.0584,      0.00278,       4.6383e-05,       2.7396e-07,         0.046384,       0.0058,      0.00825,      0.00335,      0.00752,      0.00686,      0.00591,      0.00465,       0.0101,      0.00928,        0.008,       0.0114,     0.000543
        41, 22398.604,    0.005,       0.00015979,       9.8386e-06,           0.1598,       0.0109,       0.0153,      0.00695,       0.0135,       0.0132,       0.0112,      0.00953,        0.018,       0.0179,       0.0151,       0.0618,      0.00294,       4.5285e-05,         5.17e-07,         0.045285,      0.00574,      0.00815,      0.00333,      0.00741,      0.00677,      0.00584,       0.0046,      0.00995,      0.00916,      0.00791,       0.0168,     0.000798
        42, 22920.354,    0.005,       0.00016867,       9.2693e-06,          0.16868,       0.0112,       0.0157,      0.00728,       0.0137,       0.0136,       0.0115,         0.01,       0.0183,       0.0185,       0.0156,       0.0599,      0.00285,       4.4207e-05,       8.7864e-07,         0.044207,      0.00566,      0.00806,      0.00328,       0.0073,      0.00674,      0.00578,      0.00455,       0.0098,      0.00912,      0.00782,       0.0227,      0.00108
        43, 23441.132,    0.005,       0.00015326,       9.8887e-06,          0.15327,       0.0107,        0.015,      0.00691,       0.0132,       0.0129,        0.011,       0.0095,       0.0176,       0.0175,       0.0149,        0.063,        0.003,       4.2588e-05,       8.6237e-08,         0.042588,      0.00555,      0.00791,      0.00323,      0.00718,      0.00652,      0.00564,      0.00449,      0.00964,      0.00888,      0.00767,      0.00584,     0.000278
        44, 23957.150,    0.005,       0.00015385,       6.8846e-06,          0.15386,       0.0108,        0.015,      0.00696,       0.0132,       0.0131,       0.0111,      0.00962,       0.0175,       0.0176,       0.0149,       0.0536,      0.00255,       4.1744e-05,       6.4544e-07,         0.041745,      0.00551,      0.00783,       0.0032,      0.00716,      0.00643,       0.0056,      0.00444,      0.00957,      0.00874,      0.00758,       0.0191,      0.00091
        45, 24477.628,    0.005,       0.00015348,        8.077e-06,          0.15349,       0.0107,        0.015,      0.00684,       0.0132,       0.0129,        0.011,       0.0094,       0.0176,       0.0175,       0.0148,        0.055,      0.00262,       4.2768e-05,       3.4969e-06,         0.042772,      0.00559,      0.00792,      0.00328,       0.0072,      0.00661,       0.0057,      0.00454,      0.00963,      0.00892,       0.0077,        0.047,      0.00224
        46, 24995.283,    0.005,        0.0001483,       9.1535e-06,          0.14831,       0.0106,       0.0148,      0.00679,        0.013,       0.0127,       0.0108,      0.00932,       0.0174,       0.0171,       0.0146,       0.0613,      0.00292,       4.2539e-05,       1.8563e-06,         0.042541,      0.00558,       0.0079,      0.00329,      0.00716,      0.00658,      0.00568,      0.00454,       0.0096,      0.00891,      0.00768,       0.0339,      0.00161
        47, 25513.120,    0.005,       0.00015091,       9.7052e-06,          0.15092,       0.0107,       0.0149,      0.00679,       0.0131,       0.0129,       0.0109,       0.0093,       0.0175,       0.0174,       0.0147,       0.0619,      0.00295,       4.1408e-05,       2.1174e-07,         0.041408,      0.00548,       0.0078,       0.0032,      0.00706,      0.00649,      0.00558,      0.00445,      0.00949,      0.00877,      0.00757,      0.00985,     0.000469
        48, 26030.868,    0.005,       0.00015448,       1.1438e-05,          0.15449,       0.0107,       0.0151,      0.00681,        0.013,        0.013,       0.0109,      0.00941,       0.0175,        0.018,        0.015,       0.0634,      0.00302,       4.3513e-05,       1.2363e-07,         0.043513,      0.00562,      0.00799,      0.00327,       0.0072,      0.00674,      0.00574,      0.00457,      0.00966,      0.00915,      0.00779,      0.00719,     0.000342
        49, 26548.952,    0.005,       0.00013814,       6.9687e-06,          0.13815,       0.0103,       0.0142,      0.00653,       0.0126,       0.0124,       0.0105,      0.00895,       0.0167,       0.0166,       0.0141,       0.0504,       0.0024,       4.0528e-05,       8.3168e-07,         0.040529,      0.00544,      0.00771,       0.0032,        0.007,       0.0064,      0.00553,      0.00443,      0.00938,      0.00866,      0.00749,       0.0221,      0.00105
